volume,vw,open,close,high,low,date,n
468708.0,220.4042,220.55,220.55,220.62,220.21,2024-08-13 13:50:00,7271
866375.0,220.7986,220.55,221.13,221.31,220.21,2024-08-13 13:55:00,11249
634391.0,221.29,221.13,221.655,221.71,220.7406,2024-08-13 14:00:00,9593
574782.0,221.4082,221.66,220.955,221.7,220.9003,2024-08-13 14:05:00,8909
555305.0,221.066,220.97,220.8,221.51,220.72,2024-08-13 14:10:00,8769
455323.0,220.6289,220.78,220.73,220.9,220.29,2024-08-13 14:15:00,7576
400567.0,220.8544,220.73,221.07,221.105,220.64,2024-08-13 14:20:00,6085
332028.0,221.0187,221.07,221.0,221.12,220.8205,2024-08-13 14:25:00,5157
376947.0,220.5582,220.99,220.505,221.0,220.32,2024-08-13 14:30:00,10811
340381.0,220.5538,220.51,220.545,220.72,220.41,2024-08-13 14:35:00,13601
398063.0,220.4616,220.545,220.43,220.61,220.31,2024-08-13 14:40:00,14974
512286.0,220.5351,220.44,220.73,220.75,220.2606,2024-08-13 14:45:00,15993
401736.0,220.8858,220.745,220.925,221.0,220.72,2024-08-13 14:50:00,15755
385297.0,220.9612,220.93,220.97,221.0701,220.84,2024-08-13 14:55:00,13004
267325.0,220.998,220.98,221.01,221.09,220.9124,2024-08-13 15:00:00,11420
413011.0,221.0902,221.0001,221.105,221.2799,220.97,2024-08-13 15:05:00,16745
398598.0,221.3249,221.09,221.39,221.5,221.0,2024-08-13 15:10:00,14702
295713.0,221.2185,221.385,221.2,221.43,221.06,2024-08-13 15:15:00,14550
291668.0,221.2041,221.205,221.07,221.31,221.01,2024-08-13 15:20:00,12172
244131.0,221.0639,221.08,221.055,221.15,220.97,2024-08-13 15:25:00,10625
267601.0,221.0126,221.05,221.01,221.09,220.89,2024-08-13 15:30:00,11224
295679.0,221.0881,221.02,221.13,221.2,220.99,2024-08-13 15:35:00,11563
240322.0,221.1675,221.12,221.21,221.25,221.08,2024-08-13 15:40:00,10211
222801.0,221.2879,221.22,221.3926,221.43,221.11,2024-08-13 15:45:00,7395
1004898.0,221.3274,221.38,221.5791,221.59,221.26,2024-08-13 15:50:00,4381
337945.0,221.2893,221.5814,221.1203,221.5987,221.01,2024-08-13 15:55:00,4270
285241.0,220.9899,221.1,220.9825,221.11,220.92,2024-08-13 16:00:00,3438
197437.0,221.0407,220.98,221.08,221.21,220.926,2024-08-13 16:05:00,3311
219501.0,221.0719,221.07,221.12,221.16,221.0,2024-08-13 16:10:00,3124
194700.0,221.1626,221.125,221.2639,221.2863,221.0434,2024-08-13 16:15:00,2948
204499.0,221.3091,221.26,221.26,221.4399,221.18,2024-08-13 16:20:00,3268
220476.0,221.1761,221.27,221.11,221.31,221.041,2024-08-13 16:25:00,3307
205633.0,221.0445,221.09,221.07,221.15,220.96,2024-08-13 16:30:00,3254
229126.0,221.1157,221.07,221.15,221.19,220.98,2024-08-13 16:35:00,2854
211888.0,221.234,221.1468,221.385,221.395,221.14,2024-08-13 16:40:00,3272
314482.0,221.4553,221.38,221.5403,221.5686,221.3412,2024-08-13 16:45:00,4237
232088.0,221.4737,221.55,221.45,221.55,221.38,2024-08-13 16:50:00,3491
209154.0,221.4842,221.45,221.585,221.59,221.4,2024-08-13 16:55:00,3062
257678.0,221.5173,221.57,221.51,221.595,221.4,2024-08-13 17:00:00,3619
398704.0,221.6945,221.51,221.78,221.795,221.49,2024-08-13 17:05:00,3958
208135.0,221.7462,221.785,221.77,221.8,221.68,2024-08-13 17:10:00,3540
227029.0,221.6405,221.76,221.712,221.79,221.55,2024-08-13 17:15:00,3562
176442.0,221.675,221.71,221.62,221.735,221.61,2024-08-13 17:20:00,2813
155259.0,221.641,221.61,221.69,221.69,221.58,2024-08-13 17:25:00,2838
301530.0,221.7966,221.69,221.59,221.89,221.56,2024-08-13 17:30:00,3919
220763.0,221.5455,221.5801,221.51,221.605,221.48,2024-08-13 17:35:00,3226
265488.0,221.4322,221.52,221.42,221.56,221.3074,2024-08-13 17:40:00,3546
514934.0,220.9256,221.42,221.0176,221.45,220.56,2024-08-13 17:45:00,7140
220578.0,220.8886,221.01,220.91,221.0299,220.81,2024-08-13 17:50:00,3367
192956.0,220.9214,220.9,220.93,221.03,220.8195,2024-08-13 17:55:00,3097
216200.0,220.8409,220.93,220.85,220.96,220.76,2024-08-13 18:00:00,3196
270819.0,220.9828,220.85,221.17,221.175,220.76,2024-08-13 18:05:00,3716
170876.0,221.1298,221.16,221.095,221.185,221.06,2024-08-13 18:10:00,2794
242059.0,220.969,221.1,221.01,221.19,220.71,2024-08-13 18:15:00,3658
199548.0,221.1976,221.01,221.33,221.33,220.98,2024-08-13 18:20:00,3289
224514.0,221.2446,221.33,221.218,221.39,221.1201,2024-08-13 18:25:00,3410
155963.0,221.2568,221.2461,221.23,221.305,221.19,2024-08-13 18:30:00,2484
202316.0,221.3709,221.24,221.395,221.43,221.24,2024-08-13 18:35:00,3299
188061.0,221.3578,221.395,221.33,221.4299,221.26,2024-08-13 18:40:00,3179
135335.0,221.3991,221.335,221.44,221.46,221.31,2024-08-13 18:45:00,2560
150784.0,221.4058,221.435,221.455,221.4849,221.27,2024-08-13 18:50:00,2726
202491.0,221.346,221.45,221.23,221.45,221.2064,2024-08-13 18:55:00,3193
206376.0,221.1672,221.23,221.065,221.31,221.04,2024-08-13 19:00:00,3661
266225.0,220.9263,221.06,220.865,221.06,220.82,2024-08-13 19:05:00,3979
229077.0,220.7999,220.8605,220.722,220.91,220.71,2024-08-13 19:10:00,3512
256592.0,220.7325,220.72,220.71,220.84,220.64,2024-08-13 19:15:00,3877
251927.0,220.711,220.715,220.825,220.93,220.54,2024-08-13 19:20:00,4310
314085.0,220.7854,220.81,220.67,220.87,220.63,2024-08-13 19:25:00,3539
311753.0,220.5958,220.67,220.45,220.72,220.44,2024-08-13 19:30:00,4772
289151.0,220.5384,220.455,220.5986,220.63,220.42,2024-08-13 19:35:00,4482
406671.0,220.7649,220.6,220.79,220.895,220.55,2024-08-13 19:40:00,5052
525210.0,220.7868,220.7895,220.94,221.0,220.63,2024-08-13 19:45:00,7055
715757.0,220.8422,220.95,220.61,221.12,220.56,2024-08-13 19:50:00,10801
1594211.0,221.0296,220.61,221.27,221.28,220.59,2024-08-13 19:55:00,17625
2130570.0,221.2678,221.27,221.19,221.35,220.954,2024-08-13 20:00:00,558
